City_ID,City,Country,Max Temp,City Description,Lat,Lng,Hotel Name
5,Vercelli,IT,78.62,scattered clouds,45.3231,8.4153,Hotel Cinzia Ristorante
8,Jamestown,US,77.18,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
11,Cabedelo,BR,75.87,few clouds,-6.9811,-34.8339,Hotel Pigalle
14,Mitsamiouli,KM,77.0,few clouds,-11.3847,43.2844,Foyer ADM
17,Bonthe,SL,76.69,light rain,7.5264,-12.505,Bonthe Holiday Village
18,Georgetown,MY,79.9,haze,5.4112,100.3354,Cititel Penang
19,Korla,CN,75.25,broken clouds,41.7597,86.1469,Gulisitan Hotel
21,Muisne,EC,75.88,broken clouds,0.6,-80.0333,Quinta Samay
24,Victoria,HK,81.32,light rain,22.2855,114.1577,Mini Hotel Central
29,Hithadhoo,MV,81.5,overcast clouds,-0.6,73.0833,Scoop Guest House
31,Bilma,NE,91.13,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
33,Bloomingdale,US,89.85,clear sky,27.8936,-82.2404,Travel Club for Free
37,Awbari,LY,84.63,scattered clouds,26.5921,12.7805,فندق أوباري
50,Hamilton,US,83.25,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
55,Haifa,IL,79.21,clear sky,32.8156,34.9892,Dan Panorama Haifa Hotel
60,Tabas,IR,85.55,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
62,Shubarkuduk,KZ,75.7,clear sky,49.1447,56.4872,Sirius
65,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
67,Kudahuvadhoo,MV,82.8,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
69,Kavaratti,IN,81.97,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
70,Simplicio Mendes,BR,80.2,scattered clouds,-7.8539,-41.9103,Fidalgo
73,Tunceli,TR,76.06,clear sky,39.1083,39.5471,Grand Hotel Şaroğlu
76,Sinnamary,GF,77.77,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
